E16,地面交通中心15号门外公交车上客区
M425,大冲①
N04,岗厦北地铁站①（北侧）
M402,石芽岭地铁站①
M132,白石洲③
M281,万科城①
高峰专线150,荔林地铁站
369,布吉中学
963,坪山火车站南广场
85,莲塘口岸①
M350,平峦山地铁站公交站
M530,福围
P799,广中医深圳医院
M192,深圳东站①
M320,奥林华府
E7,坂田医院
摩天轮假日接驳线,宝华海天路口
高快巴士12,体育馆①
862,龙岗中专
M225,一层公交站台
337,火车站337总站
高峰专线16,中级法院
58,龙珠四路
17,人民南地铁站
303,高训大厦（福强路东侧）
60,梅林三村东
B961,壹海城(A站台)
M437,莲塘口岸①
M407,金光华广场
M528,华丰工业区公交站②
M414,体育馆①
M331,机场东地铁公交接驳站
3,购物公园地铁站
高峰专线31,莲花中学
M183,草埔地铁站
M477,一层公交站台
高峰专线31,深圳石油大厦
M409,招商发展中心
B613,景新花园①
M564,坪山税务局
M143,东纵纪念馆站
M413,大冲①
高快巴士81,大运中心
E25,赤尾天桥
334,沙元埔
395,宝田一路地铁站
M460,塘朗地铁站
M460,孖岭社康中心
339,福华新村
M514,福海站
M563,康乐五区
M459,购物公园地铁站
M475,南山书城地铁站②
377,百鸽笼地铁站
M317,尚景地铁站
113,兴华宾馆东公交站
393,民乐地铁站4
高快巴士17,民乐地铁站北公交场站
M112,深圳书城
10,湖贝地铁站
M295,锦龙地铁站
216,中级法院
M330,大运地铁接驳站1
M357,坳背地铁站
M578,万科城②
36,深大地铁站
高峰专线22,广中医深圳医院
M513,松岗地铁站
M565,石芽岭地铁站
18,火车站西广场
391,莲花中学
M192,门诊部1西行方向
113,招商发展中心
M405,上海宾馆
高峰专线182,壹海城(A站台)
M322,大运地铁站
M273,甘坑地铁站
M191,海滨浴场1
202,兴华宾馆东公交站
M398,翠海花园
3,门诊部1西行方向
49,深大地铁站
M276,尚景欣园
M498,华南城地铁站
B760,坪山街道办
M208,康乐学校
939,罗谷居民小组
高峰专线22,坂田石化新村
B980,松岗地铁换乘站1
M528,西乡大道
M418,荔林地铁站
977,上李朗地铁站
M347,深圳湾公园地铁站②
621,南坑村
8,市总工会
M185,龙岗天安数码城①
M309,六约地铁站
E5,体育馆①
B902社区微巴,壹海城(A站台)
980,甘坑地铁站
M246,平峦山地铁站公交站
M588,大芬地铁站2
码头摩天轮假日穿梭巴士,翻身地铁站
205,莲塘口岸②
高峰专线37,华强路地铁接驳站
M190,六约北地铁站
M133,岗厦北地铁站①
M288,锦龙地铁站
B689,福田区委
B662,沙头角地铁站C口（招呼车）
高快巴士34,中海日辉台
M530,大冲①
939,六和地铁站
M205,沙头角地铁站
334,桃源村
979,深坑工业区站
B708,留仙洞地铁站
M396,荷坳地铁站
621,沙元埔
M200,西岸花园
高峰专线201,上梅林公交总站
高快巴士33,光明大街地铁站
M361,沙田地铁站2
75,上海宾馆
18,草埔地铁站
44,梅林三村
M138,高训大厦（福强路西侧北）
69,红岭泥岗立交
M511,航城街道办
M194,华丰工业区公交站②
M593,黄阁坑地铁站
高峰专线54,高新南站
M343,长岭陂地铁站
322,沙尾
27,草埔地铁站
982,坂田医院
M547,扬马市场
63,红岭南路1
M478,坪山中心地铁站
64,少儿图书馆（注红荔路）
331,海上世界地铁站
3,市公安局①
72,软件产业基地
202,福田区委
211,东门④
M281,百鸽笼公交接驳站
高峰专线221,城市山海云汇
M559,翠园中学东晓校区
P300,市总工会
M281,华为单身公寓北
377,沙尾
B729,华侨城医院
E17,石井社区
M132,海关综合大楼
376,木棉湾地铁站2
M571,江岭路口
M224,深圳东站①
369,赤尾天桥
M387,桥头地铁站①
A5,荷坳地铁站
387,莲塘口岸②
M191,白石洲②
E28,莲花中学
M408,木棉湾地铁站2
M193,红岭泥岗立交
M347,皇岗创新实验学校
M568,万科城
高峰专线29,通新岭地铁站
398,木棉湾地铁站1
M378,灵芝地铁站
26,皇岗口岸
332,西丽社区①(往北)
M235,宝安图书馆①
M325,锦龙地铁站
惠阳168B,坑梓地铁站
371,木棉湾地铁站2
M354,一层公交站台
M409,海上世界地铁站
216,华强南
B678,锦龙地铁站
N25,海馨苑
M200,碧海湾地铁站
M350,坪洲地铁站
M513,松岗派出所
惠州208,龙城广场地铁站①
高峰专线29,上海宾馆
P320,广中医深圳医院
323,科技中学
202,新洲村
M507,荔林地铁站
高快巴士60,西乡大道
高快巴士4,群星广场始发站1
M218,长圳地铁站
M357,六和地铁站
963,坪山电子城①
M433,上沙村②
M275,南联地铁站
A6,凤凰城地铁站
44,上沙村②
313,华新村
B604,西丽社区②(往北)
高峰专线37,扬马市场
M346,星光之约
M531,机场东地铁公交接驳站
351,大运地铁站①
385,群星广场始发站1
高峰专线201,草埔地铁站
高峰专线62,桃源村东
357,丹竹头地铁站
58,深圳石油大厦
E10,福华新村
M447,坂田医院
358,龙园公园
34,皇岗创新实验学校
M299,西丽社区②(往南)
M239,南联地铁站
高峰专线33,翠竹苑
莞915,双拥街地铁站
324,翰岭地铁站
P84,通新岭地铁站
高快巴士28,深圳石油大厦
K105区间线,华新村公交总站
N37,湾厦地铁站
23,布心花园
M467,前海兴海路口
882,坂田交警中队
M271,布吉中学
M360,第三高级中学
351,横岗地铁站①
306,金光华广场
M408,洪湖公园②
108,群星广场始发站1
M530,高新园地铁站
B817,海月地铁站2公交站
M412,禾花地铁站
M476,高训大厦（福强路西侧北）
N7,东门③
M521,城市山海云汇
802,尚景欣园
M325,坪山火车站南广场
M467,南山花园
M529,凤凰城地铁站
107,侨香三道南
64,妇幼保健院红荔院区（注红荔路）
103B,福田区委
376,草埔地铁站
M437,广岭
610,洪浪北地铁站
322,笋岗街道办
122,南山党校
982,坂田石化新村
M271,上水径
M270,平湖火车站（公交站）
M157,宝安中心站
204,南油地铁站①
M138,布吉中学
M266,深坑工业区站
M233,丹竹头地铁站
高快巴士20,购物公园地铁站
M183,购物公园地铁站
M363,凉帽村
M277,龙东地铁站
M356,凤凰城地铁站
M561,金海燕花园
M223,莲花中学
M433,大冲①
M575,坪山街道办
M531,黄田1
M413,招商银行大厦②
