12,2,福田农批市场
12,3,下梅林市场②
12,4,景鹏大厦
12,5,北大医院②
12,6,莲花北村①
12,7,彩田村①
12,8,公交大厦
12,9,莲花一村
12,10,园心苑②
12,11,华新村临时站
12,12,圣廷苑酒店
12,13,妇儿医院
12,14,荔园小学通新岭校区
12,15,市总工会
12,16,市委
12,17,地王大厦
12,18,人民桥
12,19,国贸
12,20,罗湖小学②
12,21,火车站
13,1,宁水花园总站
13,2,碧波花园
13,3,天井湖
13,4,荷花市场
13,5,华丽环岛
13,6,木头龙
13,7,儿童公园①
13,8,笋岗桥
13,9,桂园中学
13,10,罗湖税务局①
13,11,建设集团
13,12,少儿图书馆
13,13,妇儿医院
13,14,群星广场
13,15,华新村
13,16,海外装饰大厦②
13,17,第一职业技术学校
13,18,上海宾馆
13,19,华强南
13,20,上步码头总站
14,1,北斗总站
14,2,北斗小学
14,3,文锦中学
14,4,罗湖医院春风院区
14,5,丽都酒店①
14,6,海燕大厦
14,7,金威大厦
14,8,宝安南路
14,9,地王大厦
14,10,红岭南路①
14,11,红岭岁宝
14,12,上步小学
14,13,新城市广场
14,14,兴华宾馆西
14,15,赛格广场
14,16,上海宾馆
14,17,田面
14,18,福华新村
14,19,福景大厦
14,20,关山月美术馆②
14,21,莲花山公园①
14,22,莲花山总站
17,1,水库总站
17,2,水库新村②
17,3,怡景花园
17,4,荷花市场
17,5,华丽环岛
17,6,黄贝派出所
17,7,凤凰街
17,8,京鹏大厦
17,9,湖贝地铁站
17,10,金城大厦②
17,11,罗湖小学
17,12,人民南地铁站
17,13,火车站
17,14,
18,1,草埔地铁站总站
18,2,草埔地铁站⑧
18,3,独树村
18,4,泥岗桥
18,5,田心村
18,6,笋岗村牌坊
18,7,笋岗街道办
18,8,罗湖人才市场
18,9,笋岗仓库
18,10,西湖宾馆
18,11,振业大厦
18,12,宝安南路
18,13,金威大厦
18,14,穿孔桥
18,15,渔民村
18,16,火车站西广场公交总站
18,17,
19,1,桃源村总站
19,2,桃源村
